tortoise id,clinicalgroup,sex,Na,K,Cl,CO2,Ca,Phos,ALK,AST,CPK,GLU,BUN,UA,Alb,Chol,Vit_A,TotalProtein,Globulin,Albumin_GlobulinRatio,Lipemic _Index,Hemolysis_Index,Alpha1_Globulins,Alpha2_Globulins,Beta_Globulins,Gamma_Globulins,PreAlbumin,LDH,Trig,GLDH,aniongap,wbc,heterophils,lymphocytes,azurophils,eosinophils,basophils,plasmaprotein,hematocritP,heterophilsP,lymphocytesP,azurophilsP,eosinophilsP,basophilsP,fibronogen,ratioheterolympho,saa,hsp70,mx1,cd9,sod,ahr,mdf88,cam,atf,cl,lep,ca,cu,mg,na,p,zn,k,fe
A1,abnormal,F,154,4.6,125,21,12.2,23,24,37,1876,81,7,6,1.4,124,0.09,3.8,2.71,0.41,-999,-999,0.21,0.41,1.46,0.63,0.62,282,59,-999,-999,8200,1148,4756,164,1312,320,6,26,14,58,2,16,10,-999,0.24,16.65,13.19,17.66,12.31,10.21,15.72,15.58,10.2,14.3,19.33,14,63,0.5,22,84,23,1,2.6,-999
A10,abnormal,M,148,4,118,25,10.8,37,36,49,2826,77,3,2.2,1.3,79,0.09,3,1.91,0.56,-999,-999,0.13,0.38,0.92,0.48,0.78,314,5,-999,-999,5000,2500,2100,100,0,300,3.5,19,50,42,2,0,6,-999,1.19,16.24,12.54,18.56,12.78,10.35,14.9,15.64,9.24,9.27,14.46,13.17,110,0.52,36,150,37,2.2,4.4,-999
A11,abnormal,F,144,4.5,115,26,14.1,57,36,25,938,81,5,4.1,1.6,156,0,4,2.95,0.36,-999,-999,0.18,0.51,1.57,0.69,0.62,185,101,-999,-999,4000,520,1920,0,1000,560,4.1,24,13,48,0,25,14,-999,0.27,16.09,13.52,18.3,11.51,9.62,15.02,15.72,10.58,8.75,13.85,13.02,150,0.59,41,150,57,2,5,-999
A2,abnormal,F,153,4.1,124,19,14.5,33,26,45,1205,90,4,5.6,2,140,0.19,5,3.52,0.42,-999,-999,0.26,0.66,1.98,0.62,1,204,125,-999,-999,6600,594,4224,0,594,1188,5.2,20,9,64,0,9,18,-999,0.14,17.78,13.58,18.38,13.45,11.28,15.42,15.85,11.24,11.12,15.78,13.48,160,0.76,51,160,33,2.3,4.5,-999
A3,abnormal,M,162,4.4,130,17,10.5,70,48,50,2162,182,6,9.4,1.9,119,0.23,4.8,3.18,0.51,-999,-999,0.16,0.7,1.8,0.52,0.99,462,19,-999,-999,3800,1368,1026,190,988,228,5.5,21,36,27,5,26,6,-999,1.33,16.83,14.02,18.05,13.54,11.73,15.22,16.16,11.91,9.79,15.08,12.88,230,0.4,48,160,70,2.7,4.1,-999
A4,abnormal,M,139,3.9,112,27,9.2,29,31,57,2585,75,3,4,1.2,100,0.14,3.4,2.64,0.29,-999,-999,0.1,0.79,1.41,0.34,0.54,311,29,-999,-999,6700,4556,938,335,67,804,4,24,68,14,5,1,12,-999,4.86,15.95,13.5,16.76,10.92,10.08,15.42,15.2,10.44,16.05,22.17,13.77,95,0.64,37,150,29,1.2,4.4,-999
A5,abnormal,M,-999,-999,-999,24,10.3,30,20,369,108520,90,45,12.5,1.9,211,0,5.6,3.93,0.42,-999,-999,0.25,0.89,2.3,0.49,1.16,4270,34,-999,-999,6700,1474,4288,67,402,469,5.7,26,22,64,1,6,7,-999,0.34,16.28,13.46,17.64,12.93,10.57,13.81,15.48,10.57,9.96,14.44,12.35,97,0.69,31,150,30,3.5,4.1,-999
A6,abnormal,F,139,3.7,107,23,20.4,27,116,74,991,92,5,3.3,1.9,361,0.22,6,4.46,0.35,-999,-999,0.2,0.85,2.76,0.65,1.04,256,546,-999,-999,8400,1680,5628,0,420,672,5.3,25,20,67,0,5,8,-999,0.3,14.08,13,15.93,12.41,11.02,13.81,15.59,10.36,9.56,14.18,11.75,98,0.49,19,77,27,1.3,2.1,-999
A7,abnormal,F,159,4.3,134,19,14.9,21,30,33,604,78,27,5.4,1.7,257,0,5.4,4.25,0.27,-999,-999,0.18,0.71,2.66,0.7,0.77,159,21,-999,-999,3500,525,2030,0,490,455,3.9,24,15,58,0,5,8,-999,0.26,13.8,12.51,14.15,11.91,9.72,12.34,14.48,9.7,9.14,13.59,11.35,80,0.53,22,82,21,1.2,2.3,-999
A8,abnormal,F,153,3.4,126,21,13.1,24,24,52,1482,67,12,1.9,1.3,175,0.13,4,3.02,0.32,-999,-999,0.19,0.48,1.81,0.54,0.63,214,324,-999,-999,6500,715,3575,65,715,1430,4.5,24,11,55,1,11,22,-999,0.2,14,13.42,15.49,11.21,10.44,14.33,14.37,11.64,12.58,16.41,13.09,140,0.82,49,160,24,1.3,4,-999
