Plan ID,Insurance Company,Plan Name,Age,Rating Area,Metal Level,Market Place,Non-Tobacco Premium,Tobacco Premium,Counties,Rating Area Centroid
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,14,Rating Area 1,Silver,On,447.70,487.99,"Boone, Calhoun, Carroll, Greene, Grundy, Hamilton, Hardin, Marshall, Poweshiek, Story, Tama, Webster","(42.16, -93.6)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,15,Rating Area 1,Silver,On,487.50,531.37,"Boone, Calhoun, Carroll, Greene, Grundy, Hamilton, Hardin, Marshall, Poweshiek, Story, Tama, Webster","(42.16, -93.6)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,16,Rating Area 1,Silver,On,502.71,547.96,"Boone, Calhoun, Carroll, Greene, Grundy, Hamilton, Hardin, Marshall, Poweshiek, Story, Tama, Webster","(42.16, -93.6)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,17,Rating Area 1,Silver,On,517.93,564.54,"Boone, Calhoun, Carroll, Greene, Grundy, Hamilton, Hardin, Marshall, Poweshiek, Story, Tama, Webster","(42.16, -93.6)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,18,Rating Area 1,Silver,On,534.31,582.40,"Boone, Calhoun, Carroll, Greene, Grundy, Hamilton, Hardin, Marshall, Poweshiek, Story, Tama, Webster","(42.16, -93.6)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,19,Rating Area 1,Silver,On,550.70,600.26,"Boone, Calhoun, Carroll, Greene, Grundy, Hamilton, Hardin, Marshall, Poweshiek, Story, Tama, Webster","(42.16, -93.6)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,20,Rating Area 1,Silver,On,567.67,618.76,"Boone, Calhoun, Carroll, Greene, Grundy, Hamilton, Hardin, Marshall, Poweshiek, Story, Tama, Webster","(42.16, -93.6)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,21,Rating Area 1,Silver,On,585.24,637.91,"Boone, Calhoun, Carroll, Greene, Grundy, Hamilton, Hardin, Marshall, Poweshiek, Story, Tama, Webster","(42.16, -93.6)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,22,Rating Area 1,Silver,On,585.23,637.90,"Boone, Calhoun, Carroll, Greene, Grundy, Hamilton, Hardin, Marshall, Poweshiek, Story, Tama, Webster","(42.16, -93.6)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,23,Rating Area 1,Silver,On,585.23,637.90,"Boone, Calhoun, Carroll, Greene, Grundy, Hamilton, Hardin, Marshall, Poweshiek, Story, Tama, Webster","(42.16, -93.6)"
